[OK] train_11 seed_02 (n=28879, ratio=0.00069, n_obj=0, l2=0.0, msl=20, n_iter=140): pub=0.826078 prv=0.815287
[OK] train_11 seed_03 (n=28879, ratio=0.00069, n_obj=0, l2=0.0, msl=20, n_iter=215): pub=0.823583 prv=0.816549
[OK] train_11 seed_04 (n=28879, ratio=0.00069, n_obj=0, l2=0.0, msl=20, n_iter=149): pub=0.824500 prv=0.813945
[OK] train_11 seed_05 (n=28879, ratio=0.00069, n_obj=0, l2=0.0, msl=20, n_iter=162): pub=0.825220 prv=0.815460
[OK] train_11 seed_06 (n=28879, ratio=0.00069, n_obj=0, l2=0.0, msl=20, n_iter=149): pub=0.826511 prv=0.813507
[OK] train_11 seed_07 (n=28879, ratio=0.00069, n_obj=0, l2=0.0, msl=20, n_iter=156): pub=0.822654 prv=0.815950
[OK] train_11 seed_08 (n=28879, ratio=0.00069, n_obj=0, l2=0.0, msl=20, n_iter=183): pub=0.825131 prv=0.813673
[OK] train_11 seed_09 (n=28879, ratio=0.00069, n_obj=0, l2=0.0, msl=20, n_iter=208): pub=0.826833 prv=0.816490
[OK] train_12 seed_00 (n=49432, ratio=0.00016, n_obj=3, l2=0.0, msl=20, n_iter=68): pub=0.794888 prv=0.769505
[OK] train_12 seed_01 (n=49432, ratio=0.00016, n_obj=3, l2=0.0, msl=20, n_iter=48): pub=0.795135 prv=0.771761
[OK] train_12 seed_02 (n=49432, ratio=0.00016, n_obj=3, l2=0.0, msl=20, n_iter=57): pub=0.796297 prv=0.770921
[OK] train_12 seed_03 (n=49432, ratio=0.00016, n_obj=3, l2=0.0, msl=20, n_iter=48): pub=0.795545 prv=0.771061
[OK] train_12 seed_04 (n=49432, ratio=0.00016, n_obj=3, l2=0.0, msl=20, n_iter=48): pub=0.795022 prv=0.771562
[OK] train_12 seed_05 (n=49432, ratio=0.00016, n_obj=3, l2=0.0, msl=20, n_iter=44): pub=0.796263 prv=0.771184
[OK] train_12 seed_06 (n=49432, ratio=0.00016, n_obj=3, l2=0.0, msl=20, n_iter=75): pub=0.795898 prv=0.772849
[OK] train_12 seed_07 (n=49432, ratio=0.00016, n_obj=3, l2=0.0, msl=20, n_iter=55): pub=0.796093 prv=0.771479
[OK] train_12 seed_08 (n=49432, ratio=0.00016, n_obj=3, l2=0.0, msl=20, n_iter=48): pub=0.795956 prv=0.770936
[OK] train_12 seed_09 (n=49432, ratio=0.00016, n_obj=3, l2=0.0, msl=20, n_iter=45): pub=0.796139 prv=0.771253
[OK] train_13 seed_00 (n=500, ratio=0.01800, n_obj=4, l2=1.0, msl=50, n_iter=28): pub=0.628380 prv=0.644000
[OK] train_13 seed_01 (n=500, ratio=0.01800, n_obj=4, l2=1.0, msl=50, n_iter=20): pub=0.635775 prv=0.649284
[OK] train_13 seed_02 (n=500, ratio=0.01800, n_obj=4, l2=1.0, msl=50, n_iter=34): pub=0.625410 prv=0.639688
[OK] train_13 seed_03 (n=500, ratio=0.01800, n_obj=4, l2=1.0, msl=50, n_iter=24): pub=0.638097 prv=0.649363
[OK] train_13 seed_04 (n=500, ratio=0.01800, n_obj=4, l2=1.0, msl=50, n_iter=12): pub=0.636754 prv=0.647533
[OK] train_13 seed_05 (n=500, ratio=0.01800, n_obj=4, l2=1.0, msl=50, n_iter=23): pub=0.632852 prv=0.650650
[OK] train_13 seed_06 (n=500, ratio=0.01800, n_obj=4, l2=1.0, msl=50, n_iter=26): pub=0.624047 prv=0.635673
[OK] train_13 seed_07 (n=500, ratio=0.01800, n_obj=4, l2=1.0, msl=50, n_iter=20): pub=0.634944 prv=0.645999
[OK] train_13 seed_08 (n=500, ratio=0.01800, n_obj=4, l2=1.0, msl=50, n_iter=18): pub=0.639222 prv=0.653207
[OK] train_13 seed_09 (n=500, ratio=0.01800, n_obj=4, l2=1.0, msl=50, n_iter=27): pub=0.638054 prv=0.649980
[OK] train_14 seed_00 (n=11108, ratio=0.00207, n_obj=15, l2=0.0, msl=20, n_iter=48): pub=0.797525 prv=0.804425
[OK] train_14 seed_01 (n=11108, ratio=0.00207, n_obj=15, l2=0.0, msl=20, n_iter=64): pub=0.796214 prv=0.804738
[OK] train_14 seed_02 (n=11108, ratio=0.00207, n_obj=15, l2=0.0, msl=20, n_iter=56): pub=0.797787 prv=0.805266
[OK] train_14 seed_03 (n=11108, ratio=0.00207, n_obj=15, l2=0.0, msl=20, n_iter=69): pub=0.799609 prv=0.799465
[OK] train_14 seed_04 (n=11108, ratio=0.00207, n_obj=15, l2=0.0, msl=20, n_iter=54): pub=0.798628 prv=0.802231
[OK] train_14 seed_05 (n=11108, ratio=0.00207, n_obj=15, l2=0.0, msl=20, n_iter=54): pub=0.794289 prv=0.806272
[OK] train_14 seed_06 (n=11108, ratio=0.00207, n_obj=15, l2=0.0, msl=20, n_iter=50): pub=0.797493 prv=0.806540
[OK] train_14 seed_07 (n=11108, ratio=0.00207, n_obj=15, l2=0.0, msl=20, n_iter=64): pub=0.797874 prv=0.802083
[OK] train_14 seed_08 (n=11108, ratio=0.00207, n_obj=15, l2=0.0, msl=20, n_iter=67): pub=0.796100 prv=0.804673
[OK] train_14 seed_09 (n=11108, ratio=0.00207, n_obj=15, l2=0.0, msl=20, n_iter=62): pub=0.792346 prv=0.802293
[OK] train_15 seed_00 (n=500, ratio=0.06000, n_obj=24, l2=1.0, msl=70, n_iter=62): pub=0.841097 prv=0.843627
[OK] train_15 seed_01 (n=500, ratio=0.06000, n_obj=24, l2=1.0, msl=70, n_iter=96): pub=0.841901 prv=0.845921
[OK] train_15 seed_02 (n=500, ratio=0.06000, n_obj=24, l2=1.0, msl=70, n_iter=99): pub=0.844304 prv=0.849816
[OK] train_15 seed_03 (n=500, ratio=0.06000, n_obj=24, l2=1.0, msl=70, n_iter=110): pub=0.853620 prv=0.857404
[OK] train_15 seed_04 (n=500, ratio=0.06000, n_obj=24, l2=1.0, msl=70, n_iter=79): pub=0.846313 prv=0.854904
